ATM / Fiók azonosítója	Típus	MFB Pont	ATM / Fiók neve	Megye	Körzetszám	Város	Kerület	Cím	Megjegyzés	Földrajzi hosszúság	Földrajzi szélesség	Manager	Hétfő nyitás	Hétfő zárás	Kedd nyitás	Kedd zárás	Szerda nyitás	Szerda zárás	Csütörtök nyitás	Csütörtök zárás	Péntek nyitás	Péntek zárás	Szombat nyitás	Szombat zárás	Vasárnap nyitás	Vasárnap zárás	E-mail cím	Telefonszám	Elérhető jellemzők	Időpontfoglalás megjelenítése	Időpontfoglalás URL
1196	ATM	false	1134 Bp. Dévai u. 23.	Budapest	1134	Budapest	13	Dévai u. 23.	Akadálymentesen megközelíthető ATM.	19,063495	47,520094												0:00	24:00:00	0:00	24:00:00			aatm,24ATM,befatm	false	
1199	ATM	false	7626 Pécs, Rákóczi út 58. 	Baranya	7626	Pécs	0	Rákóczi út 58.	0-24 órás ATM, Akadálymentesen megközelíthető.	18,230906	46,073281												0:00	24:00:00	0:00	24:00:00			aatm,24ATM	false	
1140	FIOKATM	true	6000 Kecskemét, Katona  József  tér 1.	Bács-Kiskun	6000	Kecskemét	0	Katona  József  tér 1.	Akadálymentesen megközelíthető ATM<br />A fiókban a Prémium szolgáltatás elérhető. <br> Telefonszám: (76) 504-050</br>	19,694185	46,90624	Berebora Ferenc	8:00	17:00	8:00	16:00	8:00	16:00	8:00	16:00	8:00	15:00	 	 	 	 	K712@mkb.hu	+36 76 504 050	afiok,premium,mfb,24ATM,befatm	true	https://lny.io/MKB-WEB-KECSKEMET
1190	FIOKATM	false	1093 Bp. Soroksári út 3/C (Duna Ház)	Budapest	1093	Budapest	9	Soroksári út 3/C	Akadálymentesen megközelíthető fiók  <br> Telefonszám: (1) 216-2991</br>	19,068034	47,478931	Takács Gergely	8:00	17:00	8:00	16:00	8:00	16:00	8:00	16:00	8:00	15:00	 	 	 	 	K382@mkb.hu	+36 1  216 2991	afiok,premium,aatm,24ATM,befatm	true	https://lny.io/MKB-WEB-K38
1154	FIOKATM	true	8800 Nagykanizsa, Erzsébet tér 8.	Zala	8800	Nagykanizsa	0	Erzsébet tér 8.	Akadálymentesen megközelíthető fiók  <br> Telefonszám:(93) 509-650 </br>	16,987676	46,456653	Rigó Zsuzsanna	8:00	17:00	8:00	16:00	8:00	16:00	8:00	16:00	8:00	15:00	 	 	 	 	K682@mkb.hu	+36 93 509 650	afiok,premium,mfb,24ATM,befatm	true	https://lny.io/MKB-WEB-K68
1158	FIOKATM	true	9200 Mosonmagyaróvár, Magyar u. 26-28.	Győr-Moson-Sopron	9200	Mosonmagyaróvár	0	Magyar u. 26-28.	Akadálymentesen megközelíthető fiók  <br> Telefonszám: (96) 577-400</br>	17,270846	47,876473	Patyi Sándor	8:00	17:00	8:00	16:00	8:00	16:00	8:00	16:00	8:00	15:00	 	 	 	 	K832@mkb.hu	+36 96 577 400	afiok,mfb,aatm,24ATM,befatm	true	https://lny.io/MKB-WEB-K83
1141	FIOKATM	true	6400 Kiskunhalas, Kossuth u. 3.	Bács-Kiskun	6400	Kiskunhalas	0	Kossuth u. 3.	Akadálymentesen megközelíthető fiók  <br> Telefonszám: (77) 520-620  </br>	19,480518	46,4289	Bodrogi Edit	8:00	17:00	8:00	16:00	8:00	16:00	8:00	16:00	8:00	15:00	 	 	 	 	K81@mkb.hu	+36 77 520 620	afiok,mfb,aatm,24ATM,befatm	true	https://lny.io/MKB-WEB-K81
1177	FIOKATM	true	2400 Dunaújváros, Vasmű u. 4/B.	Fejér	2400	Dunaújváros	0	Vasmű u. 4/B.	Akadálymentesen megközelíthető fiók  <br> Telefonszám: (25) 512-400</br>	18,944593	46,960697	Palágyi Gergely	8:00	17:00	8:00	16:00	8:00	16:00	8:00	16:00	8:00	15:00	 	 	 	 	L64_aut@mkb.hu	+36 25 512 400	afiok,mfb,24ATM,befatm	true	https://lny.io/MKB-WEB-L64
1153	FIOKATM	true	8600 Siófok, Sió u. 2.	Somogy	8600	Siófok	0	Sió u. 2.	Akadálymentesen megközelíthető fiók  <br> Telefonszám:(84) 538-150 </br>	18,04888	46,905242	Valentinné Habi Bernadett	8:00	17:00	8:00	16:00	8:00	16:00	8:00	16:00	8:00	15:00	 	 	 	 	L60@mkb.hu	+36 84 538 150	afiok,mfb,aatm,24ATM,befatm	true	https://lny.io/MKB-WEB-L60
1161	FIOKATM	false	2000 Szentendre, Kossuth Lajos u. 10.	Pest	2000	Szentendre	0	Kossuth Lajos u. 10.	Akadálymentesen megközelíthető fiók és ATM  <br> Telefonszám:(26) 501-400 </br>	19,076361	47,664487	Richterné Bernáth Kinga	8:00	17:00	8:00	16:00	8:00	16:00	8:00	16:00	8:00	15:00	 	 	 	 	K913@mkb.hu	+36 26 501 400	afiok,aatm,24ATM,befatm	true	https://lny.io/MKB-WEB-K91
1170	FIOKATM	false	1173 Bp. Pesti út 237.	Budapest	1173	Budapest	17	Pesti út 237.	Akadálymentesen megközelíthető fiók és ATM  <br> Telefonszám: (1) 254-0130</br>	19,265531	47,476703	Bodnár Eszter	8:00	17:00	8:00	16:00	8:00	16:00	8:00	16:00	8:00	15:00	 	 	 	 	K492@mkb.hu	+36 1 254 0130	afiok,aatm,24ATM,befatm	true	https://lny.io/MKB-WEB-K49
1172	FIOKATM	false	2120 Dunakeszi, Fő út 16-18.	Pest	2120	Dunakeszi	0	Fő út 16-18	Akadálymentesen megközelíthető fiók és ATM  <br> Telefonszám:(27) 548-100 </br>	19,128436	47,630941	Lipcsei Gábor megbízott fiókvezető	8:00	17:00	8:00	16:00	8:00	16:00	8:00	16:00	8:00	15:00	 	 	 	 	L74@mkb.hu	+36 27 548 100	afiok,24ATM,befatm	true	https://lny.io/MKB-WEB-L74
1179	FIOKATM	false	7030 Paks, Dózsa Gy. út 75.	Tolna	7030	Paks	0	Dózsa Gy. út 75.	Akadálymentesen megközelíthető fiók és ATM <br> Telefonszám: (75) 519-660</br>	18,858307	46,624054	Fábián Sándorné	8:00	17:00	8:00	16:00	8:00	16:00	8:00	16:00	8:00	15:00	 	 	 	 	L86_aut@mkb.hu	+36 75 519 660	afiok,aatm,24ATM,befatm	true	https://lny.io/MKB-WEB-L86
1171	FIOKATM	false	2030 Érd, Budai u.7.	Pest	2030	Érd	0	Budai u.11	Akadálymentesen megközelíthető fiók és ATM  <br> Telefonszám: (23) 521 840</br>	18,920707	47,378254	Molnár Anikó megbízott fiókvezető	8:00	17:00	8:00	16:00	8:00	16:00	8:00	16:00	8:00	15:00	 	 	 	 	L66_aut@mkb.hu	+36 23 521 840	afiok,premium,aatm,24ATM,befatm	true	https://lny.io/MKB-WEB-L66
1156	FIOKATM	false	9027 Győr, Budai u. 1. (Árkád)	Győr-Moson-Sopron	9027	Győr	0	Budai u. 1.	Győr Árkád<br />Akadálymentesen megközelíthető fiók és ATM  <br> Telefonszám: (96) 548-236</br>	17,644615	47,68912	Tóth Attila	9:00	17:00	9:00	17:00	9:00	17:00	9:00	17:00	9:00	17:00	9:00	17:00	9:00	17:00	K96_aut@mkb.hu	+36 96 548 236	afiok,premium,aatm,befatm	true	https://lny.io/MKB-WEB-K96
1152	FIOKATM	false	8440 Herend, Kossuth Lajos u. 140.	Veszprém	8440	Herend	0	Kossuth Lajos u. 140.	</br> Lakossági ingatlanfedezetű hiteleket nem forgalmaz: nem tájékoztat és nem értékesít.<br />Akadálymentesen megközelíthető fiók és ATM <br> Telefonszám:(88) 513-610 </br>	17,754444	47,131801	Nagyné Matolcsi Tünde	8:00	17:00	8:00	16:00	8:00	16:00	8:00	16:00	8:00	15:00	 	 	 	 	K662@mkb.hu	+36 88 513 610	afiok,aatm,24ATM,befatm	true	https://lny.io/MKB-WEB-HEREND
1124	FIOKATM	false	2700 Cegléd, Kossuth tér 8.	Pest	2700	Cegléd	0	Kossuth tér 8.	Akadálymentesen megközelíthető fiók és ATM <br> Telefonszám: (53) 505-800 </br>	19,795878	47,169979	Mácska Krisztina	8:00	17:00	8:00	16:00	8:00	16:00	8:00	16:00	8:00	15:00	 	 	 	 	L63@mkb.hu	+36 53 505 800	afiok,aatm,24ATM,befatm	true	https://lny.io/MKB-WEB-L63
