Mobiliti azonosító	Töltőpont neve	Kapacitás	power_level	connection_type	Teljesítmény (Type 2)	Darab (Type 2)	Teljesítmény (CCS)	Darab (CCS)	Teljesítmény (CHAdeMO)	Darab (CHAdeMO)	Irányító szám	Település	Cím	GPS koordináták	price
10019	10019 - Békéscsaba, Lencsési Általános Iskola - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					5600	 Békéscsaba	Szabó Pál tér 1.	46.666652, 21.114189	100 Ft/kWh
10020	10020 - Vecsés, Fő út - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					2220	Vecsés	Fő út 55.	47.407707, 19.281119	100 Ft/kWh
10021	10021 - Cegléd, Kossuth tér - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					2700	Cegléd	Kossuth tér	47.169864, 19.794889	100 Ft/kWh
10022	10022 - Cegléd, Szabadság tér - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					2700	Cegléd	Szabadság tér	47.170583, 19.798973	100 Ft/kWh
10023	10023 - Cegléd, Köztársaság utca - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					2700	Cegléd	Köztársaság utca 49.	47.180940, 19.807946	100 Ft/kWh
10024	10024 - Makó, Hollósy Kornélia utca - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					6900	Makó	Hollósy Kornélia utca 2.	46.218665, 20.47418	100 Ft/kWh
10025	10025 - Makó, Szent János tér - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					6900	Makó	Szent János tér 9.	46.215177, 20.470946	100 Ft/kWh
10026	10026 - Makó, Ipari Park. Inkubátorház - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					6900	Makó	Ipari Park. Inkubátorház	46.228163, 20.509439	100 Ft/kWh
10027	10027 - Vác, Althann Mihály Frigyes utca - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					2600	Vác	Althann Mihály Frigyes utca 1.	47.780325, 19.125758	100 Ft/kWh
10028	10028 - Vác, Köztársaság út - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					2600	Vác	Köztársaság út 3.	47.776461, 19.128452	100 Ft/kWh
10029	10029 - Vác, Görgey Artúr utca - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					2600	Vác	Görgey Artúr utca 13.	47.779045, 19.130671	100 Ft/kWh
10030	10030 - Mohács, Színház utca - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					7700	Mohács	Színház utca	45.989301, 18.688248	100 Ft/kWh
10031	10031 - Mohács - Színház utca - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					7700	Mohács	Színház utca	45.989345, 18.688476	100 Ft/kWh
10032	10032 - Eger, Klapka György utca - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					3300	Eger	Klapka György utca	47.89825, 20.377725	100 Ft/kWh
10033	10033 - Eger, Kacsapart utca - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					3300	Eger	Kacsapart utca	47.901772, 20.371442	100 Ft/kWh
10034	10034 - Eger, Hadnagy utca - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					3300	Eger	Hadnagy utca	47.894888, 20.38317	100 Ft/kWh
10035	10035 - Eger, Kallómalom utca - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					3300	Eger	Kallómalom utca	47.918107, 20.374385	100 Ft/kWh
10036	10036 - Eger, Knézich Károly utca - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					3300	Eger	Knézich Károly utca	47.906469, 20.373237	100 Ft/kWh
10037	10037 - Szilvásvárad, La Contessa Kastélyhotel - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					3348	Szilvásvárad	Park utca 6.	48.105623, 20.391307	100 Ft/kWh
10038	10038 - Budapest, KÖKI Terminál Bevásárlóközpont - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					1191	Budapest	Vak Bottyán utca 75A	47.462436, 19.146053	100 Ft/kWh
10039	10039 - Budapest, KÖKI Terminál Bevásárlóközpont - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					1191	Budapest	Vak Bottyán utca 75A	47.462647, 19.14608	100 Ft/kWh
10040	10040 - Budapest, KÖKI Terminál Bevásárlóközpont - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					1191	Budapest	Vak Bottyán utca 75A	47.46322, 19.146123	100 Ft/kWh
10045	10045 - Sormás, István Hotel - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					8881	Sormás	Külterület 28.	46.460676, 16.906741	100 Ft/kWh
10046	10046 - Sormás, István Hotel - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					8881	Sormás	Külterület 28.	46.460671, 16.906665	100 Ft/kWh
10047	10047 - Sormás, István Hotel - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					8881	Sormás	Külterület 28.	46.460659, 16.906569	100 Ft/kWh
10048	10048 - Balástya, Family Hotel - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					6764	Balástya	M5 147km	46.404031, 19.974597	100 Ft/kWh
10052	10052 - Tapolca, Fő tér - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					8300	Tapolca	Fő tér 2.	46.882867, 17.440276	100 Ft/kWh
10053	10053 - Tapolca, Déli Városkapu parkoló - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					8300	Tapolca	Déli Városkapu parkoló	46.877727, 17.440464	100 Ft/kWh
10054	10054 - Hajdúböszörmény, Téglási utca - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					4220	Hajdúböszörmény	Téglási utca 2.	47.673809, 21.514429	100 Ft/kWh
10055	10055 - Szarvas, Szabadság út - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					5540	Szarvas	Szabadság út 30.	46.8625752, 20.5481780	100 Ft/kWh
10056	10056 - Szarvas, Szabadság út - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					5540	Szarvas	Szabadság út 30.	46.862551, 20.548328	100 Ft/kWh
10058	10058 - Decathlon Budaörs - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					2040	Budaörs	Baross utca 146.	47.453201, 18.936816	100 Ft/kWh
10059	10059 - Decathlon Budaörs - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					2040	Budaörs	Baross utca 146.	47.453057, 18.936817	100 Ft/kWh
10060	10060 - Decathlon Dunakeszi - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					2120	Dunakeszi	Pallag utca 3.	47.606781, 19.112584	100 Ft/kWh
10061	10061 - Decathlon Székesfehérvár - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					8000	Székesfehérvár	Holland fasor 3.	47.149986, 18.42763	100 Ft/kWh
10062	10062 - Decathlon Miskolc - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					3527	Miskolc	József Attila utca 83.	48.106054, 20.834912	100 Ft/kWh
10063	10063 - Decathlon Zalaegerszeg - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					8900	Zalaegerszeg	Balatoni út 5.	46.842743, 16.867412	100 Ft/kWh
10064	10064 - Decathlon Kecskemét - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					6000	Kecskemét	Dunaföldvári út 2b	46.885283, 19.640375	100 Ft/kWh
10065	10065 - Decathlon Szombathely - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					9700	Szombathely	Bálványkő utca 3.	47.242352, 16.656974	100 Ft/kWh
10066	10066 - Decathlon Dunaújváros - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					2400	Dunaújváros	Kandó Kálmán tér 12.	46.962097, 18.90626	100 Ft/kWh
10067	10067 - Decathlon Győr - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					9012	Győr	Királyszék út 31.	47.647196, 17.623572	100 Ft/kWh
10068	10068 - Decathlon Debrecen - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					4002	Debrecen	Balmazújvárosi út 11.	47.543436, 21.594362	100 Ft/kWh
10069	10069 - Decathlon Csömör - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					2141	Csömör	Határ út 6.	47.538602, 19.245902	100 Ft/kWh
10070	10070 - Decathlon Maglód - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					2234	Maglód	Kállai Pál utca 2.	47.460313, 19.338121	100 Ft/kWh
10073	10073 - Paks, Barátság útja - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					7030	Paks	Barátság útja	46.615949, 18.845137	100 Ft/kWh
10074	10074 - Paks, Táncsics Mihály utca - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					7030	Paks	Táncsics Mihály utca	46.621969, 18.856433	100 Ft/kWh
10075	10075 - Tata, Május 1. út - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					2890	Tata	Május 1. út	47.6510718, 18.3138378	100 Ft/kWh
10076	10076 - Tata, Május 1. út - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					2890	Tata	Május 1. út	47.6509887, 18.3139411	100 Ft/kWh
10077	10077 - Tata, Május 1. út - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					2890	Tata	Május 1. út	47.6509083, 18.3140551	100 Ft/kWh
10078	10078 - Tata, Május 1. út - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					2890	Tata	Május 1. út	47.6508252, 18.3141892	100 Ft/kWh
10079	10079 - Tata, Május 1. út - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					2890	Tata	Május 1. út	47.6507294, 18.3143354	100 Ft/kWh
10080	10080 - Tata, Gottwald Hotel - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					2890	Tata	Fekete utca 1.	47.627355, 18.331738	100 Ft/kWh
10081	10081 - Orosháza, Fasor utca - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					5900	Orosháza	Fasor utca	46.56696, 20.62909	100 Ft/kWh
10082	10082 - Orosháza, Gyopárosi út - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					5900	Orosháza	Gyopárosi út	46.56277, 20.63783	100 Ft/kWh
10083	10083 - Orosháza, Előd utca - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					5900	Orosháza	Előd utca	46.55913, 20.66821	100 Ft/kWh
10084	10084 - Budapest, Gács utca - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					1138	Budapest	Gács utca 3.	47.556348, 19.079203	100 Ft/kWh
10085	10085 - Budapest, Gács utca - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					1138	Budapest	Gács utca 3.	47.556361, 19.07913	100 Ft/kWh
10090	10090 - Szombathely, MMIK parkoló - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					9700	Szombathely	Ady tér	47.231582, 16.614133	100 Ft/kWh
10091	10091 - Szombathely, Vasútállomás - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					9700	Szombathely	Éhen Gyula tér	47.237842, 16.631577	100 Ft/kWh
10092	10092 - Szombathely, Uránia udvar - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					9700	Szombathely	Fő tér 24.	47.231671, 16.622232	100 Ft/kWh
10093	10093 - Szombathely, Csónakázó-tó parkoló - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					9700	Szombathely	Kenderesi utca	47.234196, 16.602965	100 Ft/kWh
10094	10094 - Szombathely, Borostyánkő parkoló - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					9700	Szombathely	Kisfaludy utca	47.233139, 16.626238	100 Ft/kWh
10095	10095 - Paksi Atomerőmű - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					7030	Paks	Paksi Atomerőmű	46.574093, 18.849123	100 Ft/kWh
10097	10097 - Bordány, Park tér - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					6975	Bordány	Park tér 1.	46.3219391, 19.9222874	100 Ft/kWh
10098	10098 - M7Bistro Albapark - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					8000	Székesfehérvár	M7 autópálya 60. km, Fehérvári pihenő	47.177435, 18.476358	100 Ft/kWh
10099	10099 - Zsombó, Gárdonyi Géza utca - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					6792	Zsombó	Gárdonyi Géza utca 21.	46.32582, 19.98151	100 Ft/kWh
10100	10100 - Szeged, Szentháromság utca - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					6725	Szeged	Szentháromság utca 68.	46.242944, 20.139308	100 Ft/kWh
10101	10101 - Keszthely, Tapolcai út - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					8360	Keszthely	Tapolcai út	46.773923, 17.267416	100 Ft/kWh
10102	10102 - Veszprém, Jutasi út - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					8200	Veszprém	Jutasi út 18.	47.1077636, 17.9107565	100 Ft/kWh
10103	10103 - Debrecen, Derék utca - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					4033	Debrecen	Derék utca 68/B	47.521642, 21.599577	100 Ft/kWh
10104	10104 - Nyíregyháza, Korányi utca - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					4400	Nyíregyháza	Korányi Frigyes utca 1.	47.9718037, 21.7278388	100 Ft/kWh
10105	10105 - Nyíregyháza, Korányi utca - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					4400	Nyíregyháza	Korányi Frigyes utca 1.	47.9718154, 21.7277034	100 Ft/kWh
10106	10106 - Nyíregyháza, Korányi utca - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					4400	Nyíregyháza	Korányi Frigyes utca 1.	47.9718091, 21.7277731	100 Ft/kWh
10107	10107 - Kecskemét, Március 15-e utca - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					6000	Kecskemét	Március 15-e utca 5/A	46.918738, 19.673711	100 Ft/kWh
10108	10108 - Kecskemét, Jász utca - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					6000	Kecskemét	Jász utca 26.	46.9074518, 19.6771547	100 Ft/kWh
10109	10109 - Szolnok, Mátyás király út - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					5000	Szolnok	Mátyás király út 29.	47.1802706, 20.182208	100 Ft/kWh
10110	10110 - Szolnok, Mátyás király út - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					5000	Szolnok	Mátyás király út 29.	47.1801995, 20.1821007	100 Ft/kWh
10111	10111 - Szolnok, Mátyás király út - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					5000	Szolnok	Mátyás király út 29.	47.1801156, 20.1820095	100 Ft/kWh
10112	10112 - Tatabánya, Győri utca - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					2800	Tatabánya	Győri utca 25.	47.591619, 18.38967	100 Ft/kWh
10113	10113 - Tatabánya, Győri utca - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					2800	Tatabánya	Győri utca 25.	47.5914743, 18.3897826	100 Ft/kWh
10114	10114 - Tatabánya, Győri utca - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					2800	Tatabánya	Győri utca 25.	47.591326, 18.3898685	100 Ft/kWh
10115	10115 - Sopron, Selmeci utca - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					9400	Sopron	Selmeci utca 15-17.	47.689749, 16.583657	100 Ft/kWh
10116	10116 - Budapest X, Sibrik Miklós utca - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					1103	Budapest	Sibrik Miklós utca 30.	47.4707729, 19.1567725	100 Ft/kWh
10117	10117 - Budapest X, Sibrik Miklós utca - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					1103	Budapest	Sibrik Miklós utca 30.	47.4706278, 19.1566009	100 Ft/kWh
10118	10118 - Budapest X, Sibrik Miklós utca - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					1103	Budapest	Sibrik Miklós utca 30.	47.4704393, 19.1563863	100 Ft/kWh
10119	10119 - Budapest XX, Széchenyi utca - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					1201	Budapest	Széchenyi utca 1.	47.4392947, 19.1006551	100 Ft/kWh
10120	10120 - Budapest XX, Széchenyi utca - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					1201	Budapest	Széchenyi utca 1.	47.4393691, 19.1007919	100 Ft/kWh
10121	10121 - Budapest XX, Széchenyi utca - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					1201	Budapest	Széchenyi utca 1.	47.4394235, 19.1009153	100 Ft/kWh
10122	10122 - Budapest XVIII, Alacskai út - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					1182	Budapest	Alacskai út 3.	47.4160753, 19.2075831	100 Ft/kWh
10123	10123 - Budapest IV, Megyeri út - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					1048	Budapest	Megyeri út 236.	47.593368, 19.118922	100 Ft/kWh
10124	10124 - Érd, Iparos utca - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					2030	Érd	Iparos utca	47.413073, 18.881793	100 Ft/kWh
10125	10125 - Diósd, Balatoni út - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					2049	Diósd	Balatoni út 2/A	47.4043639, 18.9475268	100 Ft/kWh
10126	10126 - Diósd, Balatoni út - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					2049	Diósd	Balatoni út 2/A	47.4044565, 18.947559	100 Ft/kWh
10127	10127 - Diósd, Balatoni út - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					2049	Diósd	Balatoni út 2/A	47.404422, 18.9474544	100 Ft/kWh
10129	10129 - Kecskemét, Jókai utca - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					6000	Kecskemét	Jókai utca 31.	46.91446, 19.689125	100 Ft/kWh
10130	10130 - Kecskemét, Katona József tér - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					6000	Kecskemét	Katona József tér 2.	46.904961, 19.692608	100 Ft/kWh
10131	10131 - Kecskemét, Izsáki út - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					6000	Kecskemét	Izsáki út 3.	46.899427, 19.673956	100 Ft/kWh
10132	10132 - Győr, Révai Miklós utca - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					9021	Győr	Révai Miklós utca	47.682341, 17.634201	100 Ft/kWh
10133	10133 - Győr, Virágpiac parkoló - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					9021	Győr	Virágpiac parkoló (Zechmeister u. 5-tel szemben)	47.685973, 17.630789	100 Ft/kWh
10134	10134 - Győr, Erkel Ferenc utca - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					9025	Győr	Erkel Ferenc u. 8.	47.687258, 17.623514	100 Ft/kWh
10135	10135 - Győr, Bercsényi liget - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					9025	Győr	Bercsényi liget 84.	47.685444, 17.614234	100 Ft/kWh
10136	10136 - Győr, Batthány tér - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					9022	Győr	Batthány tér	47.687518, 17.639311	100 Ft/kWh
10137	10137 - Győr, Kiskút liget parkoló - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					9027	Győr	Tóth László utca (Kiskút liget parkoló)	47.697018, 17.667329	100 Ft/kWh
10138	10138 - Győr, Corvin utca - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					9023	Győr	Eszperantó u. és a Corvin utca kereszteződése	47.683789, 17.640688	100 Ft/kWh
10139	10139 - Győr, Kálóczy tér - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					9026	Győr	Kálóczy tér	47.692203, 17.629345	100 Ft/kWh
10140	10140 - Győr, Kamara utcai parkoló - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					9022	Győr	Kamara utcai parkoló	47.684976, 17.636042	100 Ft/kWh
10141	10141 - Győr, Földes Gábor utca - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					9023	Győr	Földes Gábor utca 4.	47.676603, 17.656115	100 Ft/kWh
10142	10142 - Budapest XVIII, Teleki utca - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					1184	Budapest	Üllői út 400.	47.444669, 19.175722	100 Ft/kWh
10143	10143 - Budapest XVIII, Vasút utca - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					1188	Budapest	Vasút utca 49.	47.4041263, 19.1868411	100 Ft/kWh
10148	10148 - Auchan Szeged - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					6728	Szeged	Zápor utca 4.	46.2747452, 20.1028761	100 Ft/kWh
10149	10149 - Auchan Debrecen - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					4031	Debrecen	Kishatár utca 11.	47.5402569, 21.5858187	100 Ft/kWh
10150	10150 - Auchan Debrecen - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					4031	Debrecen	Kishatár utca 11.	47.5402515, 21.5857249	100 Ft/kWh
10151	10151 - Auchan Fót - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					2151	Fót	Fehérkő utca 1.	47.5821853, 19.162302	100 Ft/kWh
10152	10152 - Auchan Fót - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					2151	Fót	Fehérkő utca 1.	47.5820858, 19.1624455	100 Ft/kWh
10153	10153 - Auchan Miskolc - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					3516	Miskolc	Pesti út 9.	48.058233, 20.79929	100 Ft/kWh
10154	10154 - Auchan Miskolc - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					3516	Miskolc	Pesti út 9.	48.058162, 20.799238	100 Ft/kWh
10155	10155 - Auchan Törökbálint - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					2045	Törökbálint	Torbágy utca 1.	47.4394705, 18.8898542	100 Ft/kWh
10156	10156 - Auchan Törökbálint - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					2045	Törökbálint	Torbágy utca 1.	47.4393961, 18.8900581	100 Ft/kWh
10157	10157 - Auchan Budaörs - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					2040	Budaörs	Sport utca 4.	47.454201, 18.943029	100 Ft/kWh
10158	10158 - Auchan Budaörs - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					2040	Budaörs	Sport utca 4.	47.454159, 18.94306	100 Ft/kWh
10159	10159 - Törökszentmiklós, Kossuth utca - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					5200	Törökszentmiklós	Kossuth utca 98-100. - SPAR	47.180227, 20.417594	100 Ft/kWh
10160	10160 - Érd, Iparos utca - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					2030	Érd	Iparos utca	47.413109, 18.881924	100 Ft/kWh
10161	10161 - Érd, Iparos utca - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					2030	Érd	Iparos utca	47.413079, 18.881858	100 Ft/kWh
10162	10162 - Érd, Diósdi út - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					2030	Érd	Diósdi út 46.	47.386466, 18.925054	100 Ft/kWh
10163	10163 - Budapest IV, Nap utca - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					1045	Budapest	Nap utca 16.	47.554876, 19.094571	100 Ft/kWh
10166	10166 - Budapest, Naplás út - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					1172	Budapest	Naplás út 62-68.	47.4968364, 19.2726072	100 Ft/kWh
10167	10167 - Auchan Miskolc - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					3527	Miskolc	József Attila utca 87.	48.108391, 20.835171	100 Ft/kWh
10168	10168 - Auchan Miskolc - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					3527	Miskolc	József Attila utca 87.	48.108360, 20.835329	100 Ft/kWh
10169	10169 - Auchan Szigetszentmiklós - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					2310	Szigetszentmiklós	Háros utca 120.	47.382408, 19.02816	100 Ft/kWh
10170	10170 - Auchan Szigetszentmiklós - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					2310	Szigetszentmiklós	Háros utca 120.	47.382389, 19.028099	100 Ft/kWh
